non-exclusive,"This contract is not made just to you. It can be offered to multiple parties simultaneously."
“as-is,”,"The product is offered in its current condition. No promise to meet your needs, improve, or fix issues"
"as is,","The product is offered in its current condition. No promise to meet your needs, improve, or fix issues"
“as available”,"No promise that the product will be accessible all the time or uninterrupted."
“as available,”,"No promise that the product will be accessible all the time or uninterrupted."
non-infringement,"doesn't violate someone's intellectual property rights"
merger,"when two companies join"
mergers,"when two companies join"
consequential damages,"Damages that come from someone failing to oblige with a contract. So if a company is waving them, then they can't get in trouble for harm they cause you by breaching this contract!"
consequential damage,"Damages that come from someone failing to oblige with a contract. So if a company is waving them, then they can't get in trouble for harm they cause you by breaching this contract!
acquisition,"When one company purchases another, allowing it full control and rights over said company"
acquisitions,"When one company purchases another, allowing it full control and rights over said company"
restructuring,"Re-organizing a company. Very broad term."
omissions,"things that are left out that should have been there"
omission,"something left out that should have been there"
commercial inviability,"when a product doesn't have commercial success"
amend the fees,"change prices!"
assign its rights,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
beta services,"services in the 'testing' phase"
without liability,"without getting in trouble"
revise and update these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
deviate from this policy,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
vary these website terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
modify this Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
we may assign these terms,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
we can assign these terms,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
assign any or all of its rights,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
may assign these terms,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
can assign these terms,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
may change these terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
modify these terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
modify the terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
may modify this Agreement,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
can modify this Agreement,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
modify or update this Agreement,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
revise these terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
assign our rights,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
assign this Agreement,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
may assign any or all of these Terms,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
are freely assignable by us,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
amend these terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
amend this Agreement,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
replace this Agreement,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
modify or terminate these Terms of Use,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
modify this Contract,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
modify or replace these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
make changes to these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
change these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
make changes or modifications to these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
make changes to our site, policies, and these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
revise or change these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
modify or replace this Agreement,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
modify this User Agreement,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
modify portions of these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
change the Terms,"Uh Oh! Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
change or replace any part of these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair." 
replace any part of these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
change any part of these Terms,"Uh Oh! This depends on the context, but you are likely agreeing to a contract where a company can change what you said you agreed to, potentially without you having say, or maybe even knowing about it. Doesn't seem fair."
transfer the rights and obligations,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
transfer our rights,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
may assign the Agreement,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
assign or transfer these Terms,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
assign these Terms,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
assign or transfer the Agreement,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
assign any of our rights,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
assign the entirety of its rights,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
obligations under our Terms are freely assignable,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
may assign this Contract,"Look out! When a company says it can 'assign' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
proprietary,"ownership"
irrevocably,"can't be taken back"
on and off,"Not Good! You are giving this company rights to watch you wherever you go on the Internet. If a company says it collects info about you 'on and off' their service, this means that they collect information about your behavior both on their own website, and on other websites that are completely unrelated to their own."
on or off,"Not Good! You are giving this company rights to watch you wherever you go on the Internet. If a company says it collects info about you 'on and off' their service, this means that they collect information about your behavior both on their own website, and on other websites that are completely unrelated to their own."
transfer or delegate any of our rights,"Look out! When a company says it can 'transfer' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
pass these rights along,"Look out! When a company says it can pass on the rights of an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
transfer any of our rights,"Look out! When a company says it can 'transfer' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
delegate any of our rights,"Look out! When a company says it can 'transfer' an agreement, they are saying that they can give this agreement to someone else. So... you can agree to give the company certain rights, and give up some of your own, and they can say that you also made this agreement with an entirely different company, even if you had no say in the matter, or were never even told!"
